,Type,MunicipalityCode,Prefecture,Municipality,DistrictName,TradePrice,FloorPlan,Area,BuildingYear,Structure,Use,Purpose,CityPlanning,CoverageRatio,FloorAreaRatio,Period,Renovation,Region,LandShape,Frontage,Direction,Classification,Breadth,TotalFloorArea,PricePerUnit,UnitPrice,Remarks
498,宅地(土地),13120,東京都,練馬区,東大泉,62000000,,145,,,,その他,第１種中高層住居専用地域,50,150,2020年第２四半期,,住宅地,正方形,12.0,東,区道,4.0,,1400000,440000,
499,宅地(土地と建物),13120,東京都,練馬区,東大泉,51000000,,100,令和2年,木造,住宅,住宅,第１種低層住居専用地域,50,100,2020年第２四半期,,住宅地,袋地等,3.2,南東,区道,5.0,90,,,
500,宅地(土地と建物),13120,東京都,練馬区,東大泉,39000000,,90,昭和60年,鉄骨造、木造,住宅、駐車場,住宅,第１種中高層住居専用地域,50,150,2020年第２四半期,,住宅地,ほぼ正方形,9.3,南西,区道,4.0,125,,,
501,宅地(土地と建物),13120,東京都,練馬区,東大泉,50000000,,100,令和2年,木造,住宅,住宅,第１種低層住居専用地域,50,100,2020年第２四半期,,住宅地,ほぼ正方形,9.8,北西,区道,6.0,100,,,
502,宅地(土地),13120,東京都,練馬区,東大泉,32000000,,125,,,,その他,第１種低層住居専用地域,50,100,2020年第２四半期,,住宅地,ほぼ長方形,13.5,接面道路無,,,,840000,250000,
503,中古マンション等,13120,東京都,練馬区,東大泉,18000000,１Ｋ,20,平成19年,ＲＣ,住宅,住宅,第１種住居地域,60,200,2020年第２四半期,,,,,,,,,,,
504,宅地(土地と建物),13120,東京都,練馬区,東大泉,54000000,,70,令和2年,木造,住宅,住宅,第１種中高層住居専用地域,50,150,2020年第１四半期,,住宅地,不整形,5.2,南東,区道,4.0,95,,,
505,宅地(土地),13120,東京都,練馬区,東大泉,42000000,,85,,,,住宅,第１種中高層住居専用地域,50,150,2020年第１四半期,,住宅地,ほぼ台形,10.7,南東,区道,5.0,,1600000,500000,隣地の購入
506,宅地(土地と建物),13120,東京都,練馬区,東大泉,37000000,,115,平成9年,木造,住宅,住宅,第１種低層住居専用地域,50,100,2020年第１四半期,,住宅地,袋地等,3.0,北,道路,6.0,95,,,
507,宅地(土地と建物),13120,東京都,練馬区,東大泉,46000000,,70,昭和51年,木造,住宅、店舗,,近隣商業地域,80,300,2020年第１四半期,,住宅地,長方形,6.5,北,区道,4.8,80,,,私道を含む取引
508,宅地(土地と建物),13120,東京都,練馬区,東大泉,56000000,,115,令和2年,木造,住宅,住宅,第１種低層住居専用地域,50,100,2020年第１四半期,,住宅地,不整形,3.8,東,区道,6.0,100,,,
509,宅地(土地と建物),13120,東京都,練馬区,東大泉,62000000,,70,平成31年,木造,住宅,住宅,第１種中高層住居専用地域,60,200,2020年第１四半期,,住宅地,不整形,4.0,南西,私道,4.0,100,,,
510,宅地(土地と建物),13120,東京都,練馬区,東大泉,55000000,,120,令和2年,木造,住宅,住宅,第１種低層住居専用地域,50,100,2020年第１四半期,,住宅地,長方形,9.0,東,区道,4.0,105,,,
511,宅地(土地と建物),13120,東京都,練馬区,東大泉,59000000,,165,令和2年,木造,住宅,住宅,第１種低層住居専用地域,50,100,2020年第１四半期,,住宅地,不整形,5.4,西,区道,4.0,100,,,
512,中古マンション等,13120,東京都,練馬区,東大泉,22000000,１Ｋ,20,平成19年,ＲＣ,住宅,その他,第１種住居地域,60,200,2020年第１四半期,改装済,,,,,,,,,,
513,中古マンション等,13120,東京都,練馬区,東大泉,20000000,１Ｋ,25,平成19年,ＲＣ,住宅,住宅,第１種住居地域,60,200,2020年第１四半期,,,,,,,,,,,
514,中古マンション等,13120,東京都,練馬区,東大泉,39000000,３ＬＤＫ,65,平成19年,ＲＣ,住宅,住宅,第１種住居地域,60,200,2020年第１四半期,未改装,,,,,,,,,,
515,中古マンション等,13120,東京都,練馬区,東大泉,28000000,３ＬＤＫ,75,平成3年,ＲＣ,住宅,その他,準工業地域,60,200,2020年第１四半期,未改装,,,,,,,,,,
516,宅地(土地と建物),13120,東京都,練馬区,東大泉,31000000,,75,平成13年,木造,住宅,住宅,第１種低層住居専用地域,50,100,2020年第１四半期,,住宅地,ほぼ長方形,6.0,北西,私道,4.0,75,,,
517,中古マンション等,13120,東京都,練馬区,光が丘,35000000,３ＬＤＫ,75,昭和59年,ＲＣ,住宅,住宅,第１種中高層住居専用地域,60,200,2020年第１四半期,改装済,,,,,,,,,,
518,中古マンション等,13120,東京都,練馬区,光が丘,50000000,３ＬＤＫ,80,昭和62年,ＳＲＣ,住宅,住宅,第１種中高層住居専用地域,60,200,2020年第２四半期,未改装,,,,,,,,,,
519,中古マンション等,13120,東京都,練馬区,光が丘,41000000,２ＬＤＫ,60,昭和62年,ＳＲＣ,住宅,住宅,第１種中高層住居専用地域,60,200,2020年第２四半期,改装済,,,,,,,,,,
520,中古マンション等,13120,東京都,練馬区,光が丘,48000000,３ＬＤＫ,80,昭和60年,ＳＲＣ,住宅,住宅,第１種中高層住居専用地域,60,200,2020年第２四半期,改装済,,,,,,,,,,
521,中古マンション等,13120,東京都,練馬区,光が丘,44000000,３ＬＤＫ,75,昭和61年,ＳＲＣ,,住宅,第２種中高層住居専用地域,60,200,2020年第１四半期,未改装,,,,,,,,,,
522,中古マンション等,13120,東京都,練馬区,光が丘,42000000,３ＬＤＫ,80,昭和63年,ＲＣ,住宅,住宅,第１種中高層住居専用地域,60,200,2020年第１四半期,改装済,,,,,,,,,,
523,中古マンション等,13120,東京都,練馬区,光が丘,44000000,３ＤＫ,60,平成3年,ＲＣ,住宅,住宅,第１種中高層住居専用地域,60,200,2020年第１四半期,改装済,,,,,,,,,,
524,宅地(土地),13120,東京都,練馬区,氷川台,27000000,,50,,,,,第１種低層住居専用地域,60,200,2020年第２四半期,,住宅地,長方形,4.7,北,区道,4.0,,1700000,520000,
525,宅地(土地と建物),13120,東京都,練馬区,氷川台,38000000,,105,昭和64年,木造,共同住宅,住宅,近隣商業地域,80,300,2020年第１四半期,,住宅地,袋地等,4.0,北東,私道,4.0,105,,,
526,中古マンション等,13120,東京都,練馬区,氷川台,19000000,１ＬＤＫ,40,平成7年,ＲＣ,住宅,住宅,第１種低層住居専用地域,60,200,2020年第１四半期,改装済,,,,,,,,,,
527,中古マンション等,13120,東京都,練馬区,氷川台,60000000,３ＬＤＫ,70,平成20年,ＲＣ,,住宅,第１種低層住居専用地域,60,200,2020年第１四半期,未改装,,,,,,,,,,
528,宅地(土地と建物),13120,東京都,練馬区,富士見台,63000000,,110,令和2年,木造,住宅,住宅,第１種低層住居専用地域,50,100,2020年第２四半期,,住宅地,ほぼ正方形,9.3,北,道路,5.0,100,,,
529,宅地(土地と建物),13120,東京都,練馬区,富士見台,50000000,,125,昭和64年,ＲＣ、木造,住宅,住宅,第１種低層住居専用地域,50,100,2020年第１四半期,,住宅地,ほぼ正方形,10.6,北,区道,5.0,180,,,
530,宅地(土地と建物),13120,東京都,練馬区,富士見台,53000000,,85,平成31年,木造,住宅,住宅,第１種低層住居専用地域,50,100,2020年第１四半期,,住宅地,ほぼ長方形,9.7,北東,区道,5.0,85,,,
531,宅地(土地と建物),13120,東京都,練馬区,富士見台,53000000,,90,平成31年,木造,住宅,住宅,第１種低層住居専用地域,50,100,2020年第１四半期,,住宅地,台形,7.0,南西,区道,4.5,90,,,
532,宅地(土地),13120,東京都,練馬区,富士見台,25000000,,60,,,,,第１種住居地域,60,300,2020年第１四半期,,住宅地,ほぼ長方形,5.4,北,区道,5.0,,1400000,430000,
533,宅地(土地と建物),13120,東京都,練馬区,富士見台,54000000,,75,令和2年,木造,住宅,住宅,第１種住居地域,60,300,2020年第１四半期,,住宅地,ほぼ長方形,6.7,南,道路,6.0,80,,,
534,宅地(土地),13120,東京都,練馬区,富士見台,77000000,,190,,,,その他,第１種中高層住居専用地域,60,200,2020年第１四半期,,住宅地,ほぼ長方形,2.9,東,区道,6.0,,1300000,400000,
535,宅地(土地と建物),13120,東京都,練馬区,富士見台,63000000,,140,昭和64年,木造,共同住宅,住宅,第１種低層住居専用地域,50,100,2020年第１四半期,,住宅地,長方形,11.4,北,区道,4.0,120,,,
536,宅地(土地と建物),13120,東京都,練馬区,富士見台,46000000,,90,平成31年,木造,住宅,住宅,第１種低層住居専用地域,50,100,2020年第１四半期,,住宅地,袋地等,2.5,東,私道,4.0,85,,,
537,宅地(土地と建物),13120,東京都,練馬区,富士見台,38000000,,145,昭和39年,木造,住宅,住宅,第１種低層住居専用地域,50,100,2020年第１四半期,,住宅地,不整形,,北,区道,5.4,120,,,
538,宅地(土地と建物),13120,東京都,練馬区,平和台,78000000,,110,令和2年,木造,住宅,住宅,第１種低層住居専用地域,60,200,2020年第２四半期,,住宅地,ほぼ長方形,6.9,南西,区道,4.0,100,,,
539,宅地(土地と建物),13120,東京都,練馬区,平和台,37000000,,100,昭和31年,木造,住宅,住宅,第１種低層住居専用地域,60,200,2020年第２四半期,,住宅地,長方形,8.4,南,区道,6.0,95,,,
540,中古マンション等,13120,東京都,練馬区,平和台,21000000,１Ｋ,25,平成18年,ＲＣ,住宅,住宅,第１種低層住居専用地域,60,200,2020年第１四半期,,,,,,,,,,,
541,中古マンション等,13120,東京都,練馬区,平和台,48000000,３ＬＤＫ,65,平成18年,ＲＣ,住宅,住宅,第１種低層住居専用地域,60,200,2020年第１四半期,未改装,,,,,,,,,,
542,中古マンション等,13120,東京都,練馬区,平和台,22000000,１Ｋ,25,平成18年,ＲＣ,住宅,住宅,第１種低層住居専用地域,60,200,2020年第１四半期,未改装,,,,,,,,,,
543,中古マンション等,13120,東京都,練馬区,平和台,22000000,１Ｋ,25,平成18年,ＲＣ,住宅,住宅,第１種低層住居専用地域,60,200,2020年第１四半期,,,,,,,,,,,
544,宅地(土地),13120,東京都,練馬区,平和台,38000000,,220,,,,その他,第１種低層住居専用地域,60,200,2020年第１四半期,,住宅地,袋地等,,北,区道,6.0,,570000,170000,隣地の購入、関係者間取引
545,宅地(土地と建物),13120,東京都,練馬区,平和台,55000000,,75,平成31年,木造,住宅,住宅,第１種住居地域,60,200,2020年第１四半期,,住宅地,長方形,5.9,北西,区道,11.0,100,,,
546,宅地(土地と建物),13120,東京都,練馬区,平和台,51000000,,95,平成31年,木造,住宅,住宅,第１種低層住居専用地域,60,200,2020年第１四半期,,住宅地,不整形,,南,区道,6.1,100,,,
547,中古マンション等,13120,東京都,練馬区,平和台,48000000,３ＬＤＫ,85,平成13年,ＲＣ,住宅,住宅,第１種低層住居専用地域,60,200,2020年第１四半期,未改装,,,,,,,,,,
548,中古マンション等,13120,東京都,練馬区,平和台,36000000,３ＬＤＫ,60,平成11年,ＲＣ,住宅,住宅,第１種住居地域,60,200,2020年第１四半期,未改装,,,,,,,,,,
549,中古マンション等,13120,東京都,練馬区,平和台,8700000,１Ｋ,15,昭和62年,ＲＣ,住宅,住宅,第１種低層住居専用地域,60,200,2020年第１四半期,未改装,,,,,,,,,,
550,宅地(土地と建物),13120,東京都,練馬区,南大泉,54000000,,80,平成30年,木造,共同住宅,住宅,第１種低層住居専用地域,50,100,2020年第２四半期,,住宅地,不整形,8.0,西,区道,6.0,75,,,
551,宅地(土地と建物),13120,東京都,練馬区,南大泉,20000000,,115,昭和54年,木造,住宅,事務所,第１種低層住居専用地域,50,100,2020年第１四半期,,住宅地,ほぼ長方形,11.0,東,私道,6.0,95,,,
552,宅地(土地と建物),13120,東京都,練馬区,南大泉,45000000,,105,令和2年,木造,住宅,住宅,第１種低層住居専用地域,50,100,2020年第２四半期,,住宅地,ほぼ正方形,10.0,西,道路,4.0,100,,,
553,宅地(土地と建物),13120,東京都,練馬区,南大泉,10000000,,75,平成3年,木造,住宅,住宅,第１種低層住居専用地域,50,100,2020年第２四半期,,住宅地,長方形,8.6,南東,私道,2.6,75,,,私道を含む取引
554,宅地(土地),13120,東京都,練馬区,南大泉,60000000,,210,,,,,第１種低層住居専用地域,50,100,2020年第１四半期,,住宅地,ほぼ長方形,14.2,東,区道,5.6,,960000,290000,私道を含む取引
555,宅地(土地),13120,東京都,練馬区,南大泉,34000000,,105,,,,住宅,第１種住居地域,60,200,2020年第１四半期,,住宅地,ほぼ長方形,7.9,東,区道,5.9,,1100000,330000,
556,宅地(土地と建物),13120,東京都,練馬区,南大泉,50000000,,90,平成31年,木造,住宅,住宅,第１種低層住居専用地域,50,100,2020年第１四半期,,住宅地,ほぼ台形,11.5,東,区道,6.0,90,,,
557,宅地(土地),13120,東京都,練馬区,南大泉,37000000,,100,,,,住宅,第１種住居地域,60,200,2020年第１四半期,,住宅地,ほぼ長方形,9.1,東,区道,4.0,,1200000,360000,
558,宅地(土地と建物),13120,東京都,練馬区,南大泉,30000000,,55,令和2年,木造,住宅,住宅,第１種低層住居専用地域,50,100,2020年第１四半期,,住宅地,長方形,5.5,東,私道,4.0,45,,,私道を含む取引
559,宅地(土地と建物),13120,東京都,練馬区,南大泉,33000000,,100,平成9年,木造,住宅,住宅,第１種低層住居専用地域,50,100,2020年第１四半期,,住宅地,ほぼ正方形,9.9,東,私道,4.0,90,,,
560,中古マンション等,13120,東京都,練馬区,南大泉,31000000,３ＬＤＫ,60,平成6年,ＲＣ,住宅,住宅,近隣商業地域,80,300,2020年第１四半期,未改装,,,,,,,,,,
561,宅地(土地と建物),13120,東京都,練馬区,南大泉,53000000,,110,平成31年,木造,住宅,住宅,第１種低層住居専用地域,50,100,2020年第２四半期,,住宅地,ほぼ長方形,7.0,南,区道,5.0,100,,,
562,宅地(土地),13120,東京都,練馬区,南大泉,23000000,,95,,,,住宅,第１種低層住居専用地域,50,100,2020年第２四半期,,住宅地,台形,13.9,南西,私道,4.0,,820000,250000,
563,宅地(土地と建物),13120,東京都,練馬区,南大泉,46000000,,95,令和2年,木造,住宅,住宅,第１種低層住居専用地域,50,100,2020年第１四半期,,住宅地,ほぼ長方形,6.2,東,区道,5.5,90,,,
564,宅地(土地と建物),13120,東京都,練馬区,南大泉,50000000,,100,平成31年,木造,住宅,住宅,第１種低層住居専用地域,50,100,2020年第１四半期,,住宅地,ほぼ長方形,6.9,南,区道,5.0,100,,,
565,宅地(土地と建物),13120,東京都,練馬区,南大泉,46000000,,100,平成28年,木造,住宅,住宅,第１種低層住居専用地域,50,100,2020年第１四半期,,住宅地,ほぼ台形,8.3,北,区道,6.0,100,,,
566,中古マンション等,13120,東京都,練馬区,南田中,52000000,３ＬＤＫ,75,,,,住宅,,,,2020年第１四半期,未改装,,,,,,,,,,
567,中古マンション等,13120,東京都,練馬区,南田中,33000000,４ＬＤＫ,80,平成16年,ＲＣ,住宅,住宅,第１種低層住居専用地域,60,200,2020年第１四半期,未改装,,,,,,,,,,
568,中古マンション等,13120,東京都,練馬区,南田中,37000000,３ＬＤＫ,60,平成24年,ＲＣ,住宅,住宅,準住居地域,60,300,2020年第１四半期,未改装,,,,,,,,,,
569,中古マンション等,13120,東京都,練馬区,南田中,7400000,１Ｋ,15,平成3年,ＲＣ,住宅,住宅,準住居地域,60,300,2020年第２四半期,未改装,,,,,,,,,,
570,宅地(土地),13120,東京都,練馬区,南田中,65000000,,195,,,,住宅,第１種低層住居専用地域,50,100,2020年第１四半期,,住宅地,ほぼ長方形,11.0,南東,道路,2.7,,1100000,330000,
571,宅地(土地と建物),13120,東京都,練馬区,南田中,37000000,,55,平成2年,木造,住宅,住宅,第１種低層住居専用地域,50,100,2020年第１四半期,,住宅地,ほぼ台形,5.5,北西,私道,4.0,60,,,
572,中古マンション等,13120,東京都,練馬区,南田中,6300000,１Ｋ,15,平成3年,ＲＣ,,住宅,準住居地域,60,300,2020年第１四半期,未改装,,,,,,,,,,
573,中古マンション等,13120,東京都,練馬区,三原台,41000000,３ＬＤＫ,65,平成12年,ＲＣ,住宅,住宅,準工業地域,60,200,2020年第２四半期,改装済,,,,,,,,,,
574,宅地(土地),13120,東京都,練馬区,三原台,42000000,,140,,,,住宅,第１種低層住居専用地域,50,100,2020年第２四半期,,住宅地,長方形,9.9,南東,区道,4.5,,980000,290000,
575,宅地(土地と建物),13120,東京都,練馬区,三原台,51000000,,95,令和2年,木造,住宅,住宅,第１種低層住居専用地域,50,100,2020年第１四半期,,住宅地,ほぼ長方形,8.5,北西,道路,4.0,95,,,私道を含む取引
576,宅地(土地と建物),13120,東京都,練馬区,三原台,19000000,,50,昭和40年,木造,住宅,住宅,第１種低層住居専用地域,50,100,2020年第１四半期,,住宅地,ほぼ長方形,,接面道路無,,,60,,,
577,宅地(土地と建物),13120,東京都,練馬区,三原台,46000000,,110,平成11年,木造,住宅,住宅,第１種低層住居専用地域,50,100,2020年第１四半期,,住宅地,ほぼ正方形,10.1,南,区道,5.0,110,,,
578,宅地(土地と建物),13120,東京都,練馬区,三原台,17000000,,60,平成19年,木造,住宅,住宅,第１種低層住居専用地域,50,100,2020年第１四半期,,住宅地,ほぼ整形,6.9,北,道路,4.0,60,,,
579,宅地(土地と建物),13120,東京都,練馬区,三原台,42000000,,75,平成13年,木造,住宅,住宅,第１種低層住居専用地域,50,100,2020年第２四半期,,住宅地,ほぼ正方形,6.7,西,区道,4.0,75,,,
580,宅地(土地と建物),13120,東京都,練馬区,三原台,37000000,,145,昭和38年,木造,住宅,住宅,第１種低層住居専用地域,50,100,2020年第１四半期,,住宅地,ほぼ正方形,11.0,南,区道,4.0,55,,,
581,宅地(土地と建物),13120,東京都,練馬区,谷原,390000000,,750,昭和53年,鉄骨造、ブロック造,店舗,店舗,準住居地域,60,300,2020年第１四半期,,商業地,台形,35.0,南,都道,30.0,300,,,
582,宅地(土地と建物),13120,東京都,練馬区,谷原,51000000,,110,平成31年,木造,住宅,住宅,第１種低層住居専用地域,50,100,2020年第２四半期,,住宅地,長方形,8.0,北,区道,6.0,105,,,
583,宅地(土地),13120,東京都,練馬区,谷原,63000000,,165,,,,住宅,第１種低層住居専用地域,50,100,2020年第２四半期,,住宅地,不整形,15.4,西,区道,5.0,,1200000,380000,
584,宅地(土地),13120,東京都,練馬区,谷原,35000000,,85,,,,住宅,第１種低層住居専用地域,50,100,2020年第１四半期,,住宅地,ほぼ長方形,7.5,南,区道,4.0,,1400000,420000,
585,宅地(土地と建物),13120,東京都,練馬区,谷原,45000000,,90,平成31年,木造,住宅,住宅,第１種低層住居専用地域,50,100,2020年第１四半期,,住宅地,長方形,,南,区道,5.0,90,,,
586,宅地(土地と建物),13120,東京都,練馬区,谷原,56000000,,110,平成31年,木造,住宅,住宅,第１種低層住居専用地域,50,100,2020年第２四半期,,住宅地,ほぼ長方形,9.1,西,区画街路,5.0,105,,,
587,宅地(土地と建物),13120,東京都,練馬区,谷原,55000000,,110,平成31年,木造,住宅,住宅,第１種低層住居専用地域,50,100,2020年第１四半期,,住宅地,ほぼ長方形,9.1,東,道路,5.0,100,,,
588,宅地(土地と建物),13120,東京都,練馬区,谷原,49000000,,105,平成31年,木造,住宅,住宅,第１種低層住居専用地域,50,100,2020年第１四半期,,住宅地,袋地等,3.5,西,道路,5.0,95,,,
589,宅地(土地と建物),13120,東京都,練馬区,谷原,53000000,,110,平成31年,木造,住宅,住宅,第１種低層住居専用地域,50,100,2020年第１四半期,,住宅地,ほぼ長方形,8.0,西,区道,6.0,100,,,
